city_name,state,abbreviation,population,latitude,longitude
Lansing,Michigan,MI,113972,42.732535,-84.55553470000001
Orland Park,Illinois,IL,58590,41.6303103,-87.8539425
Vineland,New Jersey,NJ,61050,39.4863773,-75.0259637
Green Bay,Wisconsin,WI,104779,44.519159,-88.019826
Evanston,Illinois,IL,75570,42.0450722,-87.6876969
Ocoee,Florida,FL,39172,28.569167699999998,-81.5439619
Los Angeles,California,CA,3884307,34.0522342,-118.24368490000002
Federal Way,Washington,WA,92734,47.3223221,-122.3126222
West Jordan,Utah,UT,110077,40.6096698,-111.9391031
Yucaipa,California,CA,52536,34.033625,-117.0430865
Pittsburgh,Pennsylvania,PA,305841,40.440624799999995,-79.9958864
Downey,California,CA,113242,33.9401088,-118.13315929999999
Cicero,Illinois,IL,84103,41.8455877,-87.7539448
South Gate,California,CA,95677,33.954737,-118.21201609999999
Panama City,Florida,FL,36877,30.158812899999997,-85.6602058
Joplin,Missouri,MO,50789,37.0842271,-94.513281
League City,Texas,TX,90983,29.5074538,-95.0949303
Salt Lake City,Utah,UT,191180,40.760779299999996,-111.89104740000002
Fort Pierce,Florida,FL,43074,27.446705600000005,-80.3256056
Phoenix,Arizona,AZ,1513367,33.4483771,-112.07403729999999
Corvallis,Oregon,OR,55298,44.5645659,-123.2620435
Cedar Hill,Texas,TX,46663,32.5884689,-96.9561152
Chicopee,Massachusetts,MA,55717,42.14870429999999,-72.6078672
Ocala,Florida,FL,57468,29.187198600000002,-82.14009229999999
Roswell,Georgia,GA,94034,34.0232431,-84.36155550000001
Park Ridge,Illinois,IL,37839,42.011141200000004,-87.8406192
Concord,New Hampshire,NH,42419,43.2081366,-71.5375718
Olympia,Washington,WA,48338,47.0378741,-122.9006951
Huntington Beach,California,CA,197575,33.660297,-117.99922649999999
Corpus Christi,Texas,TX,316381,27.800582799999997,-97.396381
Haverhill,Massachusetts,MA,62088,42.7762015,-71.0772796
Hanover Park,Illinois,IL,38510,41.9994722,-88.1450735
Cambridge,Massachusetts,MA,107289,42.373615799999996,-71.10973349999999
Glendale,Arizona,AZ,234632,33.538652299999995,-112.18598659999999
Stanton,California,CA,38623,33.802515500000005,-117.9931165
Summerville,South Carolina,SC,46074,33.0185039,-80.17564809999999
Davenport,Iowa,IA,102157,41.5236437,-90.57763670000001
Boca Raton,Florida,FL,89407,26.3683064,-80.1289321
New Britain,Connecticut,CT,72939,41.6612104,-72.77954190000001
Roseville,Michigan,MI,47555,42.4972583,-82.93714090000002
Cleveland Heights,Ohio,OH,45394,41.5200518,-81.556235
Gresham,Oregon,OR,109397,45.5001357,-122.43020130000001
Lauderhill,Florida,FL,69813,26.1403635,-80.2133808
Hendersonville,Tennessee,TN,54068,36.304773499999996,-86.6199957
Santa Clara,California,CA,120245,37.354107899999995,-121.9552356
Oceanside,California,CA,172794,33.1958696,-117.3794834
Lake Forest,California,CA,79312,33.6469661,-117.689218
Novi,Michigan,MI,57960,42.48059,-83.47549129999999
West New York,New Jersey,NJ,52122,40.787878799999994,-74.0143064
